game_id,timestamp,type,player,model_name,role,prompt,turn,move,from,to,outcome,captured,board_after,meta_json
20251113_203801,2025-11-13T20:38:01,prompt,0,llama3.1:8b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251113_203801,2025-11-13T20:38:01,prompt,1,mistral:7b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251113_203801,2025-11-13T20:38:01,prompt,0,llama3.1:8b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251113_203801,2025-11-13T20:38:01,prompt,1,mistral:7b,initial,"You are a competitive Stratego-playing agent.
Strictly follow the rules. Output exactly ONE legal move in the format [SRC DST] and nothing else.",,,,,,,,
20251113_203801,2025-11-13T20:38:01,move,0,llama3.1:8b,,,0,[D1 E1],,,,,,
20251113_203801,2025-11-13T20:38:01,move,1,mistral:7b,,,1,[G5 F5],,,,,,
20251113_203801,2025-11-13T20:38:02,move,0,llama3.1:8b,,,2,[D8 G8],,,,,,
20251113_203801,2025-11-13T20:38:03,move,1,mistral:7b,,,3,[G4 F4],,,,,,
20251113_203801,2025-11-13T20:38:03,move,0,llama3.1:8b,,,4,[C8 D8],,,,,,
20251113_203801,2025-11-13T20:38:03,move,1,mistral:7b,,,5,[G3 G4],,,,,,
20251113_203801,2025-11-13T20:38:04,move,0,llama3.1:8b,,,6,[D8 E8],,,,,,
20251113_203801,2025-11-13T20:38:04,move,1,mistral:7b,,,7,[G1 F1],,,,,,
20251113_203801,2025-11-13T20:38:04,move,0,llama3.1:8b,,,8,[E8 D8],,,,,,
20251113_203801,2025-11-13T20:38:04,move,1,mistral:7b,,,9,[G8 F8],,,,,,
20251113_203801,2025-11-13T20:38:05,move,0,llama3.1:8b,,,10,[D2 D1],,,,,,
20251113_203801,2025-11-13T20:38:05,move,1,mistral:7b,,,11,[G2 G3],,,,,,
20251113_203801,2025-11-13T20:38:05,move,0,llama3.1:8b,,,12,[C9 C8],,,,,,
20251113_203801,2025-11-13T20:38:06,move,1,mistral:7b,,,13,[G7 G8],,,,,,
20251113_203801,2025-11-13T20:38:07,move,0,llama3.1:8b,,,14,[B9 C9],,,,,,
